datetime,close,time,date
20150731 13:42:00,324.55,13:42:00,20150731
20150731 13:43:00,324.7,13:43:00,20150731
20150731 13:44:00,325.35,13:44:00,20150731
20150731 13:45:00,325.45,13:45:00,20150731
20150731 13:46:00,325.05,13:46:00,20150731
20150731 13:47:00,325.15,13:47:00,20150731
20150731 13:48:00,325.5,13:48:00,20150731
20150731 13:49:00,324.85,13:49:00,20150731
20150731 13:50:00,324.8,13:50:00,20150731
20150731 13:51:00,324.55,13:51:00,20150731
20150731 13:52:00,324.8,13:52:00,20150731
20150731 13:53:00,324.85,13:53:00,20150731
20150731 13:54:00,324.85,13:54:00,20150731
20150731 13:55:00,324.9,13:55:00,20150731
20150731 13:56:00,324.8,13:56:00,20150731
20150731 13:57:00,324.55,13:57:00,20150731
20150731 13:58:00,324.6,13:58:00,20150731
20150731 13:59:00,324.8,13:59:00,20150731
20150731 14:00:00,324.85,14:00:00,20150731
20150731 14:01:00,325.0,14:01:00,20150731
20150731 14:02:00,324.6,14:02:00,20150731
20150731 14:03:00,325.0,14:03:00,20150731
20150731 14:04:00,325.0,14:04:00,20150731
20150731 14:05:00,324.95,14:05:00,20150731
20150731 14:06:00,325.0,14:06:00,20150731
20150731 14:07:00,325.0,14:07:00,20150731
20150731 14:08:00,325.0,14:08:00,20150731
20150731 14:09:00,325.15,14:09:00,20150731
20150731 14:10:00,325.5,14:10:00,20150731
20150731 14:11:00,325.6,14:11:00,20150731
20150731 14:12:00,325.65,14:12:00,20150731
20150731 14:13:00,325.75,14:13:00,20150731
20150731 14:14:00,326.0,14:14:00,20150731
20150731 14:15:00,326.05,14:15:00,20150731
20150731 14:16:00,326.3,14:16:00,20150731
20150731 14:17:00,326.35,14:17:00,20150731
20150731 14:18:00,326.25,14:18:00,20150731
20150731 14:19:00,326.2,14:19:00,20150731
20150731 14:20:00,326.95,14:20:00,20150731
20150731 14:21:00,326.9,14:21:00,20150731
20150731 14:22:00,326.6,14:22:00,20150731
20150731 14:23:00,326.7,14:23:00,20150731
20150731 14:24:00,326.6,14:24:00,20150731
